dataset,grid_str,total_buckets,homo,bi,multi,total_polys,mean_polys_per_bucket
moons,29 x 29 = 841,841,841,0,0,841,1.0
circles,29 x 29 = 841,841,841,0,0,841,1.0
spiral,29 x 29 = 841,841,841,0,0,841,1.0
gaussian_quantiles,28 x 28 = 784,784,784,0,0,784,1.0
cassini,35 x 35 = 1225,1225,1225,0,0,1225,1.0
checkerboard,29 x 29 = 841,841,841,0,0,841,1.0
blobs,35 x 35 = 1225,1225,1225,0,0,1225,1.0
earthquake,59 x 59 = 3481,3481,3481,0,0,3481,1.0
sfcrime,50 x 50 = 2500,2500,2500,0,0,2500,1.0
wine,12 x 12 = 144,144,144,0,0,144,1.0
cancer,21 x 21 = 441,441,441,0,0,441,1.0
bloodmnist,71 x 71 = 5041,5041,5041,0,0,5041,1.0
